id,value
id_0,27.414421138907848
id_1,61.555764338796564
id_2,20.498031961295414
id_3,29.534433611490293
id_4,10.797670108780299
id_5,36.20720195852629
id_6,39.7163838974308
id_7,16.571757123637404
id_8,48.23627374040758
id_9,33.983788973451176
id_10,39.25396543552984
id_11,58.48319051679343
id_12,37.23356466502575
id_13,41.66913211949533
id_14,27.552463091476028
id_15,13.188962402277248
id_16,52.30029122478248
id_17,23.633276389310417
id_18,19.76620730122566
id_19,20.51352231576115
id_20,15.662688636435982
id_21,28.492761653833114
id_22,38.03477309331393
id_23,11.08073866172894
id_24,58.24257195872908
id_25,44.53164348809789
id_26,28.87672212188023
id_27,9.80659246533586
id_28,29.69971845020148
id_29,36.35090638975579
id_30,19.434287880193096
id_31,12.714862585758521
id_32,17.01177710173269
id_33,8.62668931766548
id_34,18.822221657199222
id_35,38.66455325466788
id_36,20.084023351608398
id_37,28.392809216974534
id_38,6.944196018382103
id_39,59.6890637807207
id_40,46.63323825406622
id_41,17.285915015381843
id_42,49.708559840216424
id_43,18.98558771211375
id_44,44.159390463790174
id_45,51.198984762407555
id_46,61.64642457272893
id_47,40.29588701961106
id_48,51.04026409016161
id_49,42.08154294041682
id_50,30.75654330065354
id_51,25.43723701932489
id_52,41.07801634047809
id_53,26.36300434891951
id_54,38.2427821364607
id_55,39.900441553962956
id_56,25.700202264186977
id_57,22.49555052760777
id_58,37.45505335768725
id_59,31.50166897774279
id_60,15.993398048369292
id_61,23.13494156322863
id_62,31.722934691222477
id_63,55.05229489415021
id_64,49.79831948592002
id_65,27.169160090147592
id_66,41.803853111931346
id_67,53.976956241262535
id_68,28.60287695813176
id_69,39.587057634425925
id_70,64.41004099683423
id_71,53.21381239465385
id_72,44.59853488078684
id_73,11.81688568954991
id_74,13.289592184301458
id_75,37.136411177264385
id_76,60.84702575225402
id_77,3.7670480312213517
id_78,45.379579962509446
id_79,41.111222955899095
id_80,8.835973391734035
id_81,22.680548317382385
id_82,8.159403848471383
id_83,34.03009529750505
id_84,11.67537801213062
id_85,5.759547254690427
id_86,16.876148600411042
id_87,12.034405723467735
id_88,13.36107280731678
id_89,28.145311378875455
id_90,30.627119552649077
id_91,11.835052985547588
id_92,14.132080743700023
id_93,8.394687915162741
id_94,36.41781289181146
id_95,16.178822533683313
id_96,16.285855847963944
id_97,9.213729994384185
id_98,11.671375685267371
id_99,4.634553560281809
id_100,13.60866586253347
id_101,18.480007259766353
id_102,11.82113586398117
id_103,6.077421515496529
id_104,14.771755921578889
id_105,37.099344731089644
id_106,27.420060710163387
id_107,8.530799984870324
id_108,16.835617116912843
id_109,17.009873694654182
id_110,14.687410427868798
id_111,18.125877155921216
id_112,13.882086681124267
id_113,28.584211602627775
id_114,23.142685828460102
id_115,15.520795728986784
id_116,10.083488217771903
id_117,44.5644605529924
id_118,30.359912321752063
id_119,2.102791391103841
id_120,2.927833510450593
id_121,11.87232339192921
id_122,16.392896301064905
id_123,15.97087876934997
id_124,7.163709919594763
id_125,27.293822361390255
id_126,22.340197711791262
id_127,13.732502603016993
id_128,20.508382415263036
id_129,18.095688210360013
id_130,4.665614036458242
id_131,36.41189059247379
id_132,14.866076986310917
id_133,27.465755838780368
id_134,24.300247397428674
id_135,21.975347389185437
id_136,10.824580104837146
id_137,20.33385563089248
id_138,77.23322399988393
id_139,63.593761198029185
id_140,28.090510248566666
id_141,18.152016805003534
id_142,25.717190834076895
id_143,8.858041483073197
id_144,12.31178244666499
id_145,10.749838767606912
id_146,22.288277969870457
id_147,8.217187730711956
id_148,14.136199453576053
id_149,17.603725961692906
id_150,51.43025621074105
id_151,21.677367009439003
id_152,24.63501218890089
id_153,16.28079630072233
id_154,14.92005554158973
id_155,27.588243276311147
id_156,21.89754177084651
id_157,34.45580367947674
id_158,3.859293542944109
id_159,20.42882497787491
id_160,44.05801076590103
id_161,19.499130846885855
id_162,55.62940603627884
id_163,20.124473588171586
id_164,37.643544565953874
id_165,25.486716909731868
id_166,21.804944870038717
id_167,2.1067715576521957
id_168,66.67231076194315
id_169,18.20522973566407
id_170,18.40137633556826
id_171,68.6354308217404
id_172,21.528864081486056
id_173,3.354108085335878
id_174,23.917112671935282
id_175,3.193286932380767
id_176,7.336236804824113
id_177,19.802330216766546
id_178,21.02805102647264
id_179,21.301695961549544
id_180,43.10038167368021
id_181,27.72679803671294
id_182,29.34505935259432
id_183,12.926859464643123
id_184,9.494780318326136
id_185,41.79174848493841
id_186,37.56672487648475
id_187,33.46514056158583
id_188,16.61188699455292
